name,year,price,dist,lat,lng
星河湾畅园,2006,101575,朝阳,39.93286569211888,116.5290854064474
西山美墅馆,2004,114775,海淀,39.96099507432439,116.23845127533203
王府花园,2002,58325,昌平,40.11341204783705,116.40877700680682
御汤山熙园,2016,54309,昌平,40.18827763903629,116.38988851650961
三嘉信苑,2015,52181,海淀,40.133325024638175,116.2118720322417
珠江绿洲家园,2007,53238,朝阳,39.913965431139495,116.56775076172148
香山清琴,2008,161580,海淀,39.98581100957385,116.22127549432015
东山墅,2005,130127,朝阳,39.95742010431022,116.50018004159983
珠江壹千栋,2012,57440,昌平,40.12451829511501,116.39646025012897
新龙城,2006,64135,昌平,40.07476902126643,116.33070662239291
丽泽雅园,2001,81283,丰台,39.8767995159479,116.3294133319502
新怡家园,2006,148486,东城,39.90456742430337,116.42158378914037
纽约豪园,2005,70262,朝阳,39.92136351435942,116.47735104435257
丽都壹号,2011,93565,朝阳,39.98502764373342,116.51295933578479
逸成东苑,2006,110388,海淀,40.019416378727634,116.35644630915361
保利中央公园,2012,149222,朝阳,40.003279041986204,116.49597902605187
中海凯旋,2004,179757,西城,39.91896418876548,116.37098727027417
今日家园,2002,91155,海淀,39.90809758000684,116.2890079094336
南新园小区,1997,61705,朝阳,39.87549210354837,116.48147498528778
圣世一品,2010,99310,朝阳,39.93133598982528,116.46548712348228
紫御华府,2013,104650,朝阳,40.04723934521485,116.41618928489186
人济山庄,2003,117713,海淀,40.34511155949335,116.57166629577839
首创禧瑞都,2013,163139,朝阳,39.92452469548403,116.47191036720083
龙湾别墅,2004,75320,顺义,40.089332591454856,116.51280222215108
远洋万和公馆,2013,131658,朝阳,40.00873081672633,116.49188975970935
褐石园,2005,163803,海淀,40.02090840337195,116.32798233127279
金星园,2005,117350,朝阳,39.9737958247671,116.46358316495389
翡翠公园,2022,74423,昌平,39.77354406377935,116.3268299849646
财富公馆,2012,57592,朝阳,39.91083544320716,116.51696910208967
世茂奥临花园,2007,90820,朝阳,40.04057149869731,116.40962643051942
华业东方玫瑰,2012,52135,通州,39.885909106734324,116.6915560355816
山水文园东园,2005,97584,朝阳,39.87200739352156,116.48957231115472
万象新天家园,2003,66632,朝阳,39.935548010434886,116.59934551396567
山水文园西园,2008,98359,朝阳,39.87264255101285,116.47234299113444
温哥华森林,2018,53123,昌平,40.13953666570633,116.42026840038211
恋日国际,2002,64994,朝阳,39.91112662221902,116.47149121784987
尚峰尚水,2015,76615,海淀,40.0514467222591,116.19167183623883
丰汇园小区,1999,177266,西城,39.92151617132381,116.37407636326189
北京洋房,2007,43774,昌平,40.12034274195488,116.43764110714636
广渠金茂府(北区),2013,145850,朝阳,39.900794434729185,116.49135481877816
朗琴园,2002,130943,西城,39.89254809211172,116.3480442780577
纳帕溪谷,2005,45948,昌平,40.17664868151637,116.43211678056709
丽泽景园,2011,86700,丰台,39.87069532045027,116.31352967358386
保利百合花园,2008,108767,丰台,39.88276585369942,116.31140832512206
龙山新新小镇,2008,29172,怀柔,40.292113148493485,116.64204170536328
新起点嘉园,2005,115390,海淀,39.96761538835096,116.31069408241106
北京城建海梓府,2015,79152,大兴,39.76349437821777,116.4906695015046
万城华府海园,2006,179546,海淀,39.97760028315187,116.29733079981408
青年汇佳园,2006,90811,朝阳,39.92869031586396,116.5194385439366
美景东方,2004,77905,朝阳,39.87562963601552,116.47709664423213
百环家园,2005,66264,朝阳,39.896423048360454,116.47143902629975
望京西园四区,2000,75387,朝阳,40.0023156993542,116.47537522138336
润泽御府,2021,178117,朝阳,40.06270011048247,116.4373485118572
金港国际,2005,90991,朝阳,39.90323058724972,116.48686796241692
芍药居北里小区,1990,95446,朝阳,39.99194888164441,116.44254296346864
一瓶,2009,173776,西城,39.872658748282,116.50823936914371
万科星园,2001,92610,朝阳,40.03496277744816,116.41929796093969
御汤山东区,2016,50804,昌平,39.910924547299565,116.4133836971231
润泽庄园,2012,94553,朝阳,40.061823137090634,116.44414679812614
远洋沁山水,2009,103477,石景山,39.908432563404965,116.25716639266581
万泉盛景园,2002,77283,丰台,39.862345499095134,116.33721781022088
天通苑北一区,2004,44847,昌平,40.08068318280086,116.42355610871809
西城晶华,2008,174955,西城,39.92697867159922,116.37239572348327
保利垄上,2010,41132,昌平,40.1706108884614,116.4017031204074
西马金润家园,2005,62327,丰台,39.8442010547269,116.38928701114014
望京金茂府,2014,127676,朝阳,40.025077499268086,116.46773046183235
远洋LAVIE,2015,123744,朝阳,40.03515384881232,116.54897051723823
京投银泰万科西华府,2017,71609,丰台,39.818957895992675,116.31094237405402
九号公寓,2010,73416,朝阳,40.01268970342931,116.25560980887812
龙湖唐宁one,2011,153757,海淀,39.99436151951075,116.34165013943766
天通西苑三区,2002,39671,昌平,40.08336605392773,116.41581621861357
华纺易城,2010,87189,朝阳,39.9373172508755,116.5225430877791
华贸公寓,2005,103016,朝阳,39.91758108123801,116.48693596414404
合顺家园,2015,52540,丰台,39.81561009364535,116.38031401706208
永泰东里,2000,81913,海淀,40.04064393344764,116.36539495915237
华腾园,2001,79514,朝阳,39.893108738921065,116.47187470447209
太阳公元(北区),2012,171330,朝阳,39.9877993747635,116.44895057667131
公园悦府,2018,74482,昌平,40.0961220865391,116.36091798415173
大成郡,2011,92310,丰台,39.89456756149823,116.2750936062368
首邑溪谷,2016,67532,大兴,39.76666310216808,116.31665389031701
天通苑北二区,2004,44440,昌平,40.082314075312674,116.42826870925397
荣丰2008,2007,165247,西城,39.90028007088735,116.34332601819709
农光里小区,1995,68433,朝阳,39.889828868750435,116.47106640917421
宣颐家园,2004,55616,大兴,39.81721176110026,116.45906882044405
国兴观湖国际,2006,107726,朝阳,39.94095606784087,116.50078199612207
润泽悦溪,2010,111751,朝阳,40.05918089692315,116.43678725057455
一栋洋房,2002,69161,大兴,40.12034274195488,116.43764110714636
北京风景,2015,46818,昌平,39.91619946739804,116.48556137705266
钓鱼台7号院,2011,172346,海淀,39.92566240248111,116.3276444785705
季景沁园,2008,92245,朝阳,40.00144347004279,116.4619274082379
富力尚悦居,2015,32167,通州,39.77770478925122,116.5943912692476
角门东里小区,1993,56971,丰台,39.8539880757951,116.390879976301
珠江骏景北区,2004,72521,丰台,39.86131694744885,116.40208085787434
望春园,2008,69803,朝阳,40.05284910373169,116.4254103130148
上地东里,2000,97958,海淀,40.03839500537389,116.3211091263243
林奥嘉园,2014,74955,朝阳,40.04083809591461,116.41431308400372
香江花园(别墅),1997,112275,朝阳,40.037480291010986,116.52962389113092
怡海花园富润园,2001,61265,丰台,39.837845935836064,116.30828249143899
澳洲康都,2007,100775,朝阳,40.01861737710057,116.46522850132597
八家嘉园,2014,86825,海淀,40.02181422489977,116.35013679091263
天鹅湾(北区),2009,125563,朝阳,39.92800408642372,116.52950172158158
颐源居,2003,127876,海淀,39.92127331724234,116.31167925406385
马家堡西里,1985,59287,丰台,39.85883761510765,116.38072103928864
北京壹号庄园(东方普罗旺斯四期),2015,78949,昌平,40.13443205960186,116.45564699509545
合生霄云路8号,2013,146994,朝阳,39.97102780649199,116.4803980966424
鸿坤理想城礼域府,2012,61169,大兴,39.79953778601924,116.3486631207235
