name,price,age,sp_school,sp_subway,sp_hospital,sp_mall,sp_office
北京壹号庄园(东方普罗旺斯四期),78504,7,2091.073,1415.118,4842.417,10963.848,12942.099
嘉润花园,65517,21,1378.927,1570.583,2851.985,3360.855,1132.15
八家嘉园,86825,8,17349.017,93560.35,15595.074,95598.964,94902.735
西山壹号院(北区),108269,11,21110.824,54392.756,45131.973,57162.685,83342.921
北京太阳城,36208,13,194.748,870.778,2187.347,2225.816,4178.229
富力尚悦居,32353,7,17349.017,93560.35,15595.074,95598.964,94902.735
林奥嘉园,74923,8,827.544,857.227,755.119,724.127,2476.663
荣丰2008,165249,15,169.358,852.135,1406.836,2440.452,899.395
兴隆家园(北区),66400,20,9722.082,85933.415,11476.026,87972.029,87275.8
依莲轩,109642,21,274.137,916.701,1848.976,2197.161,1300.689
珠江骏景中区,70713,20,10536.296,34141.116,15861.898,34975.076,42711.7
左安漪园,107629,17,8728.085,32332.905,14053.687,33166.865,40903.489
西湖新村,36081,19,1663.161,5167.415,1475.835,9113.309,11490.248
怡海花园恒泰园,69607,17,521.455,1449.237,231.483,4031.485,1247.139
中粮瑞府,100405,6,3568.623,1803.838,4618.219,3659.513,9394.304
沿海赛洛城(北区),67431,15,8728.085,32332.905,14053.687,33166.865,40903.489
中国院子,111321,12,10536.296,34141.116,15861.898,34975.076,42711.7
泛海国际碧海园,119151,14,732.09,3076.287,725.506,1442.792,4745.391
马连道中里(三区),118210,22,8428.002,34070.981,24294.404,36840.91,63021.146
鸿坤林语墅,73730,5,2672.394,3188.885,3038.261,3709.98,6083.939
钓鱼台7号院,172346,11,16961.422,29101.37,11699.458,68152.125,68410.95
新起点嘉园,115128,17,984.033,1238.145,1328.398,1124.121,2190.954
枫丹丽舍,85591,19,1749.716,3659.147,3394.867,4635.097,6087.849
宋家庄家园,60236,31,8676.275,34319.254,24542.677,37089.183,63269.419
蓝堡国际公寓,104771,17,737.671,2108.734,5185.705,2306.832,3242.998
育新花园,78370,23,17349.017,93560.35,15595.074,95598.964,94902.735
万科星园,92544,21,450.088,1329.969,1227.861,1196.869,988.755
松榆西里,63611,24,8676.275,34319.254,24542.677,37089.183,63269.419
珠江帝景(B区),108916,18,1274.293,1035.862,4425.821,3291.945,3353.026
西山庭院,106752,7,21110.824,54392.756,45131.973,57162.685,83342.921
利泽西园,88929,18,48818.747,100656.751,91395.968,101433.477,105688.719
今典花园,113741,8,0.0,914.413,1033.216,2289.72,954.141
芳城园(一区),67319,30,557.588,2089.436,1110.969,3457.877,4753.418
京铁家园,55933,18,1542.535,1329.012,2042.689,2392.653,5080.587
保利春天里,46954,7,2206.633,2766.874,1872.97,3821.114,8850.562
怡海花园恒丰园,68894,17,521.455,1449.237,231.483,4031.485,1247.139
上京新航线,106252,15,10536.296,34141.116,15861.898,34975.076,42711.7
远洋山水(南区),76794,14,10536.296,34141.116,15861.898,34975.076,42711.7
永丰嘉园(百旺杏林湾),66111,4,8728.085,32332.905,14053.687,33166.865,40903.489
京贸国际城,59706,7,1935.764,4228.481,3939.239,7951.277,8124.424
富力十号,171367,10,17349.017,93560.35,15595.074,95598.964,94902.735
风林绿洲,102573,20,968.096,826.585,1430.944,558.129,1226.098
珠江罗马嘉园(西区),79941,18,9895.668,31738.015,21961.438,34507.944,60688.18
缘溪堂,107314,16,410.908,800.854,736.731,877.402,1980.448
富卓苑,63008,18,10536.296,34141.116,15861.898,34975.076,42711.7
梵谷水郡,67853,14,1658.842,3665.348,2114.804,3349.597,3430.585
公园1872,95457,9,842.764,2452.191,2531.739,2382.373,5162.996
中海御鑫阁,70837,9,901.663,1185.642,859.108,2057.127,3172.331
万国城MOMA,123938,15,1467.579,1400.608,2003.48,2106.253,763.697
富力又一城(C区公寓住宅),61174,13,17349.017,93560.35,15595.074,95598.964,94902.735
上元君庭,80898,14,929.853,1659.307,1718.952,1365.198,685.946
望京花园西区,90464,24,2154.154,1712.556,2069.54,2119.901,3318.613
保利海德公园,172413,7,838.845,995.488,1202.687,3393.353,3081.38
远见名苑(一期),115252,17,241.455,946.684,1667.447,3455.506,506.011
望京花园东区,91509,20,3545.11,3736.766,5018.168,5527.038,3298.333
棕榈滩别墅,102340,8,718.521,3222.058,1619.42,3726.736,13032.421
倚林佳园,104456,20,2247.958,3114.825,2814.94,3366.731,3092.172
中海安德鲁斯庄园(东区),61743,16,3794.596,5125.601,3967.643,5962.198,8582.085
首开华润城,96584,4,172.747,474.254,2217.046,2458.66,223.601
香江花园(别墅),111967,25,541.699,990.049,2324.992,4966.076,7101.077
金泉家园,94324,18,24092.984,57374.916,48114.133,60144.845,86325.081
嘉慧苑,62992,22,372.194,1572.167,1168.713,2333.359,1070.845
时代国际嘉园,100045,15,1521.058,1706.265,4788.063,1909.19,3090.605
清友园,59624,20,0.0,362.807,2900.868,2869.876,2482.144
新景家园(西区),119570,9,48818.747,100656.751,91395.968,101433.477,105688.719
望京西园一区,78080,25,3545.11,3736.766,5018.168,5527.038,3298.333
一品亦庄,62754,17,2595.94,1327.77,3116.516,7890.443,6556.273
清上园,83972,19,341.095,802.991,1889.925,2940.074,3899.739
万城华府玺园,179676,16,568.853,619.973,1428.412,2248.856,671.19
首开万科城市之光,56728,7,172.747,474.254,2217.046,2458.66,223.601
国瑞城(西区),107093,9,48818.747,100656.751,91395.968,101433.477,105688.719
威尼斯花园,38213,16,1311.309,3257.005,434.575,8240.025,10324.975
万科公园五号,95286,12,866.07,1279.906,1937.153,929.742,2249.099
风度柏林,92754,18,564.476,720.943,4700.876,2483.219,3204.083
