name, year, price, lat, lng
海特花园,1998,52250,39.93902414,116.1952722
鹏润家园,2003,75429,39.87570287,116.3535059
泛海国际香海园,2008,124365,39.94313722,116.5061987
拂林园,2003,72686,40.03472095,116.4228526
万城华府龙园,2006,179435,39.97692747,116.3000211
天时名苑,2010,52775,39.91101241,116.6403675
领秀硅谷,2005,90838,43.80713224,125.2406589
北京城建福润四季A区,2014,54974,39.99151391,116.3605291
府学胡同小区,2001,169861, None, None
天通西苑一区,2001,42598,40.07400297,116.4171153
西辛南区,2010,38414,24.12296262,120.6746931
富力爱丁堡公馆,2005,122271,47.28626733,130.2914297
天通中苑(1-37号楼),2008,52413,40.07866408,116.433715
润枫领尚,2012,48142,39.8308062,116.5614197
后现代城(A区),2008,80733,39.90575812,116.493992
通惠家园惠民园,2001,65550,37.49580311,117.5165097
凯旋城,2006,99919,40.00387415,116.4261095
天籁轩,2009,22923,39.9112032,116.5733481
温泉凯盛家园,2014,64641,40.05598008,116.178064
富力阳光美园,2010,58136,47.28626733,130.2914297
世纪金色嘉园,2004,83431,39.87518471,116.3783801
首开畅心园,2010,50830,39.99898542,116.4804566
林语别墅,2015,64622,40.04323919,116.224864
华远九都汇,2011,96688,27.74747981,102.8436947
五福玲珑居,2012,64788,31.43777321,106.426863
恒盛波尔多小镇(南区),2010,25838,22.69906293,114.1070863
新康家园,2004,63365,39.80607572,116.4954659
清景园,1997,74459,40.03643989,116.3572906
格调小区,2003,119826,39.89245585,116.3338822
领秀翡翠山,2018,46358,39.96334819,116.3487574
万城华府尚园,2006,178853,39.97460524,116.2988526
颐慧佳园,2009,125979,39.94280026,116.2970989
丽都水岸,2001,98817,39.97552958,116.4905889
天通西苑二区,2002,45051,40.07842606,116.41583
北街家园(八区),2012,53088,26.25261094,105.9383214
北京银泰中心,2005,163765,39.9132015,116.4657793
庄胜二期,2005,160476,40.02099073,116.3255935
紫荆豪庭,2004,63309,41.11969171,121.1905944
嘉和丽园公寓,2001,73251,39.96341711,116.4718742
西坝河东里,1996,80927,38.03639673,114.476661
SOHO北京公馆,2008,98037,39.95442016,116.4613739
垡头翠成馨园(A区),2004,55169,39.86282374,116.5134754
檀香山,2006,143601,39.95939534,116.2569311
天畅园,2007,66225,40.04124596,116.4224203
加州水郡(东区),2005,31849,22.27515412,114.2339035
新村二里,1986,51587,39.84735357,116.3128407
澳林春天(四期),2000,110712,30.5849609,103.9280465
丽水嘉园,2008,95242,28.80667945,120.2377217
育新花园西里,2011,22338,43.53724403,122.1859631
南庭新苑南区,2011,52250,39.80895972,116.3755003
仓上小区(五里仓社区),1994,34267,40.12067747,116.6610057
宝盛里观林园,2010,92067,40.04115868,116.3753932
领秀慧谷A区(三区),2019,59729,40.10400863,116.3117714
西山壹号院(南区),2011,126168,24.99354435,102.7043379
富力又一城(A区),2004,53894,47.28626733,130.2914297
万科长阳天地,2017,45054,30.47864578,111.2135071
首开康乃馨城,2012,37628,39.75430337,116.3183466
蓝桥驿苑,2014,32418,34.07982295,109.4683718
合生国际花园(一期),2008,109741,31.09031303,121.2956327
翠福园,2012,37209,39.95140314,116.6597098
MOMA万万树,2008,58121,22.567256,114.112236
西罗园四区,2001,60584,39.86865908,116.396767
康城花园别墅,2002,51344,36.8139422,111.3341148
碧水云天颐园(西区),2004,178718,39.97310286,116.3022747
大屯里小区(北区),2003,79307,40.01444118,116.4225065
山语城(一区),2015,43714,39.81684869,116.1458403
友谊社区,2003,115104,46.78659642,131.8182012
金晖嘉园,2001,134774,39.95245937,116.3651333
中建国际港,2015,55069,39.75987318,116.3369028
中信国安府,2017,178442,31.24529705,121.5153211
